SigMax/CI,r/a,Region
2.542783339,1.184615385,HDZ
2.789585547,1.215384615,HDZ
2.451743462,1.153846154,HDZ
2.468652038,1.215384615,HDZ
2.512763242,1.215384615,HDZ
2.250643041,1.153846154,HDZ
2.193593315,1.153846154,HDZ
2.316857899,1.215384615,HDZ
2.167033572,1.215384615,HDZ
2.085540254,1.215384615,HDZ
2.037516171,1.276923077,HDZ
2.066929134,1.169230769,HDZ
1.810761095,1.215384615,HDZ
2.245508982,1.215384615,HDZ
2.077288314,1.153846154,HDZ
2.025984049,1.215384615,HDZ
2.066929134,1.246153846,HDZ
1.973189677,1.153846154,HDZ
1.962861416,1.215384615,HDZ
1.943964453,1.184615385,HDZ
1.870546318,1.123076923,HDZ
1.812428078,1.215384615,HDZ
2.005347594,1.123076923,HDZ
1.407506702,1.138461538,HDZ
1.708613582,1.246153846,HDZ
1.923546654,1.153846154,HDZ
2.091078067,1.153846154,HDZ
1.483609646,1.153846154,HDZ
1.705283673,1.153846154,HDZ
1.713073744,1.184615385,HDZ
1.839523476,1.153846154,HDZ
1.84945984,1.153846154,HDZ
1.739562624,1.184615385,HDZ
1.734581498,1.092307692,HDZ
1.759776536,1.092307692,HDZ
1.63585376,1.184615385,HDZ
1.589945488,1.230769231,HDZ
1.787741203,1.153846154,HDZ
1.393312102,1.123076923,HDZ
1.584188292,1.184615385,HDZ
1.62371134,1.215384615,HDZ
1.595421394,1.215384615,HDZ
1.555401936,1.184615385,HDZ
1.481655691,1.184615385,HDZ
1.05,1.076923077,HDZ
1.516756549,1.107692308,HDZ
1.632462687,1.215384615,HDZ
1.528235979,1.153846154,HDZ
1.526458616,1.184615385,HDZ
1.376507604,1.123076923,HDZ
1.290349009,1.092307692,HDZ
1.343398158,1.184615385,HDZ
1.381094353,1.123076923,HDZ
1.425597393,1.123076923,HDZ
1.518804243,1.153846154,HDZ
2.043861926,1.215384615,HDZ
1.111503176,1.061538462,HDZ
1.90401354,1.184615385,HDZ
1.348458904,1.092307692,HDZ
1.291407019,1.092307692,HDZ
2.72441072,1.215384615,HDZ
2.988841658,1.276923077,HDZ
2.626867995,1.215384615,HDZ
2.644984326,1.215384615,HDZ
2.692246331,1.153846154,HDZ
2.411403258,1.215384615,HDZ
2.350278552,1.215384615,HDZ
2.482347749,1.092307692,HDZ
2.18305304,1.153846154,HDZ
2.214566929,1.123076923,HDZ
2.405902481,1.123076923,HDZ
2.225666051,1.092307692,HDZ
2.170697196,1.123076923,HDZ
2.214566929,1.123076923,HDZ
2.103065803,1.123076923,HDZ
2.082819057,1.061538462,HDZ
2.00415677,1.123076923,HDZ
1.941887227,1.061538462,HDZ
2.148586707,1.046153846,HDZ
1.508042895,1.123076923,HDZ
1.830657409,1.092307692,HDZ
2.060942843,1.092307692,HDZ
2.240440786,1.092307692,HDZ
1.589581763,1.123076923,HDZ
1.827089649,1.061538462,HDZ
1.835436154,1.061538462,HDZ
1.97091801,1.092307692,HDZ
1.981564115,1.092307692,HDZ
1.863817097,1.092307692,HDZ
1.858480176,1.092307692,HDZ
1.752700457,1.092307692,HDZ
1.703513022,1.092307692,HDZ
1.915437003,1.153846154,HDZ
1.492834395,1.153846154,HDZ
1.697344599,1.046153846,HDZ
1.739690722,1.215384615,HDZ
1.709380065,1.153846154,HDZ
1.666502074,1.092307692,HDZ
1.587488241,1.123076923,HDZ
1.911531491,1.123076923,HDZ
1.625096302,1.061538462,HDZ
1.637395692,1.092307692,HDZ
1.635491374,1.153846154,HDZ
1.474829575,1.092307692,HDZ
1.382516795,1.123076923,HDZ
1.439355169,1.061538462,HDZ
1.479743949,1.030769231,HDZ
1.527425778,1.123076923,HDZ
1.62729026,1.123076923,HDZ
2.189852063,1.153846154,HDZ
1.19089626,1.092307692,HDZ
1.444777397,1.092307692,HDZ
1.383650377,1.153846154,HDZ
1.429349306,1.092307692,HDZ
1.544723421,1.092307692,HDZ
1.454696592,1.030769231,HDZ
1.213124856,1.015384615,HDZ
1.419046761,1.092307692,HDZ
1.333164043,1.046153846,HDZ
1.08560794,1.015384615,HDZ
1.372190277,1.092307692,HDZ
1.252684324,1.061538462,HDZ
1.579897683,1.092307692,HDZ
